metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
울산광역시,,,2010-07-26,2010,180000000,30000000,9000000
울산광역시,,,2014-01-01,2014,240000000,38000000,13000000
울산광역시,,,2018-01-26,2018,390000000,38000000,13000000
울산광역시,,,2019-04-02,2019,540000000,38000000,13000000
세종특별자치시,,,2002-11-01,2002,140000000,25000000,7500000
세종특별자치시,,,2008-08-21,2008,150000000,25000000,7500000
세종특별자치시,,,2010-07-26,2010,150000000,25000000,7500000
세종특별자치시,,,2014-01-01,2014,180000000,30000000,10000000
세종특별자치시,,,2018-01-26,2018,390000000,30000000,10000000
세종특별자치시,,,2019-04-02,2019,540000000,30000000,10000000
부산광역시,,,2002-11-01,2002,150000000,30000000,9000000
부산광역시,,,2008-08-21,2008,160000000,30000000,9000000
부산광역시,,,2010-07-26,2010,180000000,30000000,9000000
부산광역시,,,2014-01-01,2014,240000000,38000000,13000000
부산광역시,,,2018-01-26,2018,500000000,38000000,13000000
부산광역시,,,2019-04-02,2019,690000000,38000000,13000000
부산광역시,기장군,,2002-11-01,2002,140000000,25000000,7500000
부산광역시,기장군,,2008-08-21,2008,150000000,25000000,7500000
부산광역시,기장군,,2010-07-26,2010,150000000,25000000,7500000
부산광역시,기장군,,2014-01-01,2014,180000000,30000000,10000000
부산광역시,기장군,,2018-01-26,2018,500000000,30000000,10000000
부산광역시,기장군,,2019-04-02,2019,690000000,30000000,10000000
인천광역시,중구,운남동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,운북동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,운서동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,중산동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,남북동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,덕교동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,을왕동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,무의동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,중구,운남동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,운북동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,운서동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,중산동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,남북동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,덕교동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,을왕동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,무의동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,중구,운남동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,운북동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,운서동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,중산동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,남북동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,덕교동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,을왕동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,무의동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,중구,운남동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,운북동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,운서동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,중산동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,남북동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,덕교동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,을왕동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,무의동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,중구,운남동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,운북동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,운서동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,중산동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,남북동,2018-01-26,2018,390000000,38000000,13000000
