metro,city_gu,dong_ri_eup_myeon,start_date,end_date,limit_deposit,small_amount
인천광역시,서구,대곡동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,불로동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,마전동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,금곡동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,오류동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,왕길동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,당하동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,원당동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,청라1동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,청라2동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,청라3동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,청라동,2021-05-11,2023-02-20,70000000,23000000
인천광역시,서구,대곡동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,불로동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,마전동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,금곡동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,오류동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,왕길동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,당하동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,원당동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,청라1동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,청라2동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,청라3동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,청라동,2023-02-21,2026-12-31,85000000,28000000
인천광역시,서구,검암동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,백석동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,시천동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,연희동,2001-09-15,2008-08-20,30000000,12000000
